time,lon,lat,spatial_ref,rf
2024-01-03,81.5,22.0,0,0.0
2024-01-03,81.5,22.25,0,0.0
2024-01-03,81.5,22.5,0,0.0
2024-01-03,81.75,18.5,0,0.0
2024-01-03,81.75,18.75,0,0.0
2024-01-03,81.75,19.0,0,0.0
2024-01-03,81.75,19.25,0,0.0
2024-01-03,81.75,19.5,0,0.0
2024-01-03,81.75,19.75,0,0.0
2024-01-03,81.75,20.0,0,0.0
2024-01-03,81.75,20.25,0,0.0
2024-01-03,81.75,20.5,0,0.0
2024-01-03,81.75,20.75,0,0.0
2024-01-03,81.75,21.0,0,0.0
2024-01-03,81.75,21.25,0,0.0
2024-01-03,81.75,21.5,0,0.0
2024-01-03,81.75,21.75,0,0.0
2024-01-03,81.75,22.0,0,0.0
2024-01-03,81.75,22.25,0,0.0
2024-01-03,81.75,22.5,0,0.0
2024-01-03,81.75,23.75,0,0.0
2024-01-03,82.0,18.75,0,0.0
2024-01-03,82.0,19.0,0,0.0
2024-01-03,82.0,19.25,0,0.0
2024-01-03,82.0,19.5,0,0.0
2024-01-03,82.0,19.75,0,0.0
2024-01-03,82.0,20.25,0,0.0
2024-01-03,82.0,20.5,0,0.0
2024-01-03,82.0,20.75,0,0.0
2024-01-03,82.0,21.0,0,0.0
2024-01-03,82.0,21.25,0,0.0
2024-01-03,82.0,21.5,0,0.0
2024-01-03,82.0,21.75,0,0.0
2024-01-03,82.0,22.0,0,0.0
2024-01-03,82.0,22.25,0,0.0
2024-01-03,82.0,22.5,0,0.0
2024-01-03,82.0,22.75,0,0.0
2024-01-03,82.0,23.0,0,0.0
2024-01-03,82.0,23.5,0,0.0
2024-01-03,82.0,23.75,0,0.0
2024-01-03,82.25,20.0,0,0.0
2024-01-03,82.25,20.25,0,0.0
2024-01-03,82.25,20.5,0,0.0
2024-01-03,82.25,20.75,0,0.0
2024-01-03,82.25,21.0,0,0.0
2024-01-03,82.25,21.25,0,0.0
2024-01-03,82.25,21.5,0,0.0
2024-01-03,82.25,21.75,0,0.0
2024-01-03,82.25,22.0,0,0.0
